Date,Open Time,Close Time,Trade Duration,Description,Amount,Opening,Closing,Points,P/L,Daily P/L,Balance
2024-08-14,16:02:59,16:02:59,00:00:00,Online Transfer Cash In,nan,0.00,0.00,0.00,500.00,500.00,500.36
2024-08-14,16:06:10,16:09:20,00:03:10,US Tech 100,5.00,19052.00,19041.30,-10.70,-53.50,446.50,446.86
2024-08-14,16:16:15,16:16:58,00:00:43,US Tech 100,4.00,19032.00,19042.20,10.20,40.80,487.30,487.66
2024-08-14,16:18:06,16:20:09,00:02:03,US Tech 100,-5.00,19042.00,19044.70,2.70,-13.50,473.80,474.16
2024-08-14,16:20:44,16:20:54,00:00:10,US Tech 100,4.00,19043.50,19038.50,-5.00,-20.00,453.80,454.16
2024-08-14,16:22:19,16:23:33,00:01:14,US Tech 100,2.00,19044.50,19046.30,1.80,3.60,457.40,457.76
2024-08-14,16:29:06,16:30:02,00:00:56,US Tech 100,2.00,19033.60,19048.70,15.10,30.20,487.60,487.96
2024-08-14,16:31:10,16:31:15,00:00:05,US Tech 100,3.00,19060.00,19071.00,11.00,33.00,520.60,520.96
2024-08-14,16:31:51,16:32:44,00:00:53,US Tech 100,3.00,19069.50,19048.50,-21.00,-63.00,457.60,457.96
2024-08-14,16:33:13,16:33:52,00:00:39,US Tech 100,4.00,19039.90,19024.70,-15.20,-60.80,396.80,397.16
2024-08-14,16:34:14,16:35:03,00:00:49,US Tech 100,-3.00,19026.20,19005.70,-20.50,61.50,458.30,458.66
2024-08-14,16:36:15,16:37:46,00:01:31,US Tech 100,1.00,19009.70,19028.30,18.60,18.60,476.90,477.26
2024-08-14,16:36:15,16:38:07,00:01:52,US Tech 100,1.00,19009.70,19022.80,13.10,13.10,490.00,490.36
2024-08-14,16:36:15,16:38:47,00:02:32,US Tech 100,1.00,19009.70,19019.70,10.00,10.00,500.00,500.36
2024-08-14,16:42:42,16:43:36,00:00:54,US Tech 100,1.00,18974.60,18977.80,3.20,3.20,503.20,503.56
2024-08-14,16:42:42,16:44:12,00:01:30,US Tech 100,1.00,18974.60,18962.70,-11.90,-11.90,491.30,491.66
2024-08-14,16:45:32,16:52:25,00:06:53,US Tech 100,-1.00,18968.60,18943.50,-25.10,25.10,516.40,518.06
2024-08-14,16:45:32,16:51:01,00:05:29,US Tech 100,-1.00,18968.60,18967.30,-1.30,1.30,517.70,492.96
2024-08-14,16:47:49,16:55:50,00:08:01,US Tech 100,-1.00,19005.20,18932.00,-73.20,73.20,590.90,591.26
2024-08-14,16:47:49,17:00:49,00:13:00,US Tech 100,-1.00,19005.20,18940.90,-64.30,64.30,655.20,655.56
2024-08-14,17:06:04,17:06:41,00:00:37,US Tech 100,-1.00,18949.30,18928.30,-21.00,21.00,676.20,676.56
2024-08-14,17:06:04,17:07:54,00:01:50,US Tech 100,-1.00,18949.30,18923.00,-26.30,26.30,702.50,702.86
2024-08-14,17:06:04,17:11:50,00:05:46,US Tech 100,-1.00,18949.30,18887.40,-61.90,61.90,764.40,764.76
2024-08-14,17:15:59,17:24:02,00:08:03,US Tech 100,-1.00,18887.40,18923.90,36.50,-36.50,727.90,728.26
2024-08-14,17:20:55,17:24:03,00:03:08,US Tech 100,-1.00,18909.00,18924.70,15.70,-15.70,712.20,712.56
2024-08-14,17:27:52,17:29:34,00:01:42,US Tech 100,-3.00,18902.00,18922.00,20.00,-60.00,652.20,652.56
2024-08-14,17:37:14,17:40:50,00:03:36,US Tech 100,-3.00,18871.60,18896.20,24.60,-73.80,578.40,578.76
2024-08-14,17:44:26,17:48:55,00:04:29,US 2000,-1.00,2078.83,2078.72,-0.10,0.11,578.51,578.87
2024-08-14,17:44:26,17:49:03,00:04:37,US 2000,-1.00,2078.83,2078.78,-0.00,0.05,578.56,578.92
2024-08-14,17:44:26,17:50:15,00:05:49,US 2000,-6.00,2078.83,2081.27,2.40,-14.64,563.92,564.28
2024-08-14,17:57:12,17:59:13,00:02:01,US Tech 100,2.00,18956.30,18976.30,20.00,40.00,603.92,604.28
2024-08-14,17:57:31,18:00:28,00:02:57,US Tech 100,2.00,18962.50,18974.30,11.80,23.60,627.52,627.88
2024-08-14,18:02:10,18:03:27,00:01:17,US Tech 100,-3.00,18974.40,18988.10,13.70,-41.10,586.42,586.78
2024-08-14,18:04:26,18:05:28,00:01:02,US Tech 100,4.00,18993.00,18983.00,-10.00,-40.00,546.42,546.78
2024-08-14,18:06:42,18:07:04,00:00:22,US Tech 100,5.00,18974.70,18966.80,-7.90,-39.50,506.92,507.28
2024-08-14,18:08:19,18:08:39,00:00:20,US 500 (Per 1.0),10.00,5438.07,5436.68,-1.40,-13.90,493.02,493.38
2024-08-14,18:08:51,18:10:04,00:01:13,US Tech 100,3.00,18969.60,18974.70,5.10,15.30,508.32,508.68
2024-08-14,18:08:51,18:10:21,00:01:30,US Tech 100,2.00,18969.60,18975.70,6.10,12.20,520.52,520.88
