Date,Open Time,Close Time,Trade Duration,Description,Amount,Opening,Closing,Points,P/L,Daily P/L,Balance
2024-08-16,16:33:55,16:46:47,00:12:52,US 500 (Per 1.0),15.00,5529.43,5529.28,-0.20,-2.25,-2.25,764.28
2024-08-16,16:36:24,16:46:01,00:09:37,US 500 (Per 1.0),10.00,5532.43,5529.54,-2.90,-28.90,-31.15,766.53
2024-08-16,16:48:59,16:49:52,00:00:53,US Tech 100,-4.00,19397.60,19407.60,10.00,-40.00,-71.15,724.28
2024-08-16,16:50:49,17:01:56,00:11:07,US 500 (Per 1.0),3.00,5535.68,5542.09,6.40,19.23,-51.92,749.71
2024-08-16,16:50:49,17:01:56,00:11:07,US 500 (Per 1.0),3.00,5535.68,5542.09,6.40,19.23,-32.69,768.94
2024-08-16,16:50:49,17:19:06,00:28:17,US 500 (Per 1.0),3.00,5535.68,5546.72,11.00,33.12,0.43,802.06
2024-08-16,16:50:49,17:32:16,00:41:27,US 500 (Per 1.0),11.00,5535.68,5540.12,4.40,48.84,49.27,835.90
2024-08-16,16:54:33,16:55:45,00:01:12,US 500 (Per 1.0),5.00,5535.69,5532.69,-3.00,-15.00,34.27,709.28
2024-08-16,16:56:15,17:00:22,00:04:07,US 500 (Per 1.0),5.00,5536.29,5540.53,4.20,21.20,55.47,730.48
2024-08-16,17:07:13,17:32:25,00:25:12,US 500 (Per 1.0),7.00,5543.31,5539.42,-3.90,-27.23,28.24,805.52
2024-08-16,17:10:59,17:32:24,00:21:25,US 500 (Per 1.0),7.00,5539.96,5539.51,-0.40,-3.15,25.09,832.75
2024-08-16,17:23:24,17:25:05,00:01:41,US 500 (Per 1.0),5.00,5545.21,5542.21,-3.00,-15.00,10.09,787.06
2024-08-16,17:33:37,17:37:48,00:04:11,US Tech 100,2.00,19481.10,19468.20,-12.90,-25.80,-15.71,768.72
2024-08-16,17:33:37,17:34:17,00:00:40,US Tech 100,2.00,19481.10,19480.40,-0.70,-1.40,-17.11,804.12
2024-08-16,17:33:37,17:37:35,00:03:58,US Tech 100,2.00,19481.10,19476.30,-4.80,-9.60,-26.71,794.52
2024-08-16,17:43:17,17:44:26,00:01:09,US Tech 100,6.00,19473.10,19461.60,-11.50,-69.00,-95.71,699.72
2024-08-16,17:45:01,17:48:06,00:03:05,US 2000,-40.00,2132.23,2133.53,1.30,-52.00,-147.71,647.72
2024-08-16,17:49:25,17:49:28,00:00:03,US 2000,50.00,2131.19,2130.59,-0.60,-30.00,-177.71,617.72
2024-08-16,17:54:38,17:56:05,00:01:27,US Tech 100,1.00,19437.30,19439.70,2.40,2.40,-175.31,620.12
2024-08-16,17:54:38,17:57:04,00:02:26,US Tech 100,2.00,19437.30,19438.20,0.90,1.80,-173.51,621.92
2024-08-16,17:54:38,17:57:14,00:02:36,US Tech 100,1.00,19437.30,19438.90,1.60,1.60,-171.91,623.52
2024-08-16,17:54:38,17:57:26,00:02:48,US Tech 100,1.00,19437.30,19441.20,3.90,3.90,-168.01,627.42
2024-08-16,17:59:11,18:14:02,00:14:51,US 2000,-30.00,2133.30,2134.62,1.30,-39.60,-207.61,533.42
2024-08-16,18:05:48,18:13:44,00:07:56,US 2000,-20.00,2132.20,2134.92,2.70,-54.40,-262.01,573.02
2024-08-16,18:16:35,18:20:55,00:04:20,US 2000,-5.00,2132.33,2129.93,-2.40,12.00,-250.01,560.77
2024-08-16,18:16:35,18:19:11,00:02:36,US 2000,-5.00,2132.33,2131.91,-0.40,2.10,-247.91,535.52
2024-08-16,18:16:35,18:20:16,00:03:41,US 2000,-5.00,2132.33,2131.40,-0.90,4.65,-243.26,540.17
2024-08-16,18:16:35,18:20:28,00:03:53,US 2000,-5.00,2132.33,2130.61,-1.70,8.60,-234.66,548.77
2024-08-16,18:16:35,18:20:59,00:04:24,US 2000,-5.00,2132.33,2129.83,-2.50,12.50,-222.16,573.27
2024-08-16,18:16:35,18:27:29,00:10:54,US 2000,-10.00,2132.33,2131.25,-1.10,10.80,-211.36,561.67
2024-08-16,18:16:35,18:22:38,00:06:03,US 2000,-5.00,2132.33,2129.53,-2.80,14.00,-197.36,587.27
2024-08-16,18:26:54,18:27:11,00:00:17,US Tech 100,-4.00,19432.40,19441.50,9.10,-36.40,-233.76,550.87
2024-08-16,18:28:04,18:33:18,00:05:14,US Tech 100,4.00,19446.80,19435.20,-11.60,-46.40,-280.16,515.27
2024-08-16,18:28:16,18:33:19,00:05:03,US Tech 100,1.00,19437.60,19435.30,-2.30,-2.30,-282.46,512.97
2024-08-16,18:36:40,18:39:06,00:02:26,US 500 (Per 1.0),5.00,5540.59,5541.72,1.10,5.65,-276.81,518.62
2024-08-16,18:36:40,18:39:43,00:03:03,US 500 (Per 1.0),5.00,5540.59,5541.21,0.60,3.10,-273.71,521.72
2024-08-16,18:36:40,18:40:32,00:03:52,US 500 (Per 1.0),5.00,5540.59,5540.70,0.10,0.55,-273.16,522.27
2024-08-16,18:42:44,18:49:44,00:07:00,US Tech 100,2.00,19469.80,19471.70,1.90,3.80,-269.36,511.97
2024-08-16,18:45:36,18:46:45,00:01:09,US Tech 100,3.00,19478.10,19480.10,2.00,6.00,-263.36,528.27
2024-08-16,18:48:34,18:49:40,00:01:06,US Tech 100,3.00,19479.60,19472.90,-6.70,-20.10,-283.46,508.17
2024-08-16,18:50:46,18:50:56,00:00:10,US Tech 100,3.00,19464.00,19458.00,-6.00,-18.00,-301.46,493.97
2024-08-16,18:51:26,18:55:34,00:04:08,US Tech 100,1.00,19465.60,19492.60,27.00,27.00,-274.46,591.77
2024-08-16,18:51:26,18:55:14,00:03:48,US Tech 100,2.00,19465.60,19490.10,24.50,49.00,-225.46,564.77
2024-08-16,18:51:26,18:52:29,00:01:03,US Tech 100,1.00,19465.60,19472.80,7.20,7.20,-218.26,501.17
2024-08-16,18:51:26,18:53:11,00:01:45,US Tech 100,1.00,19465.60,19480.20,14.60,14.60,-203.66,515.77
2024-08-16,18:55:34,18:55:40,00:00:06,US Tech 100,-1.00,19492.60,19492.10,-0.50,0.50,-203.16,592.27
2024-08-16,19:12:47,19:15:25,00:02:38,US Tech 100,1.00,19506.80,19517.90,11.10,11.10,-192.06,603.37
2024-08-16,19:12:47,19:23:56,00:11:09,US Tech 100,1.00,19506.80,19524.10,17.30,17.30,-174.76,620.67
2024-08-16,19:21:45,19:24:35,00:02:50,US Tech 100,1.00,19518.20,19526.40,8.20,8.20,-166.56,628.87
2024-08-16,19:21:45,19:27:19,00:05:34,US Tech 100,1.00,19518.20,19520.30,2.10,2.10,-164.46,630.97
2024-08-16,19:21:45,19:31:09,00:09:24,US Tech 100,1.00,19518.20,19527.20,9.00,9.00,-155.46,639.97
2024-08-16,19:21:45,19:33:32,00:11:47,US Tech 100,1.00,19518.20,19535.20,17.00,17.00,-138.46,656.97
2024-08-16,19:26:20,19:33:49,00:07:29,US Tech 100,1.00,19517.80,19537.90,20.10,20.10,-118.36,677.07
2024-08-16,19:26:20,19:34:02,00:07:42,US Tech 100,1.00,19517.80,19536.40,18.60,18.60,-99.76,695.67
2024-08-16,19:26:20,19:35:00,00:08:40,US Tech 100,1.00,19517.80,19537.20,19.40,19.40,-80.36,715.07
2024-08-16,19:46:47,19:54:45,00:07:58,US Tech 100,3.00,19533.60,19545.10,11.50,34.50,-45.86,749.57
2024-08-16,19:46:47,19:58:00,00:11:13,US Tech 100,3.00,19533.60,19560.90,27.30,81.90,36.04,831.47
